"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","elevation","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country","rightsHolder","nomenclaturalStatus","identifier","recordNumber","nomenclaturalCode","datasetName","locality","county","fieldNumber","gbifID","collectionCode","occurrenceID","type","taxonID","catalogNumber","recordedBy","institutionCode","ownerInstitutionCode","bibliographicCitation","identifiedBy","collectionID","name","dateIdentified","typeStatus","municipality","language","occurrenceRemarks","coordinateUncertaintyInMeters","typifiedName","otherCatalogNumbers","higherGeography","institutionID","organismID","datasetID","accessRights","higherClassification"
"1","1257861066","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-18.453333,-63.703611,"cdround,gass84","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","US","DWC_ARCHIVE","2020-02-14T11:33:51.259+0000","2020-02-14T11:59:48.077+0000",107,"none","PRESERVED_SPECIMEN",1,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",1250,"SOUTH_AMERICA","Santa Cruz",2012,8,17,"2012-08-17T00:00:00","2014-07-16T11:15:00.000+0000","2020-02-14T11:59:48.077+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of","Missouri Botanical Garden","No opinion","urn:catalog:MO:Tropicos:100514685","Parada-Gutierrez 4732","ICNafp","Tropicos","Camino entre Pampas y La Junta.","Vallegrande","12-26","1257861066","MO","urn:catalog:MO:Tropicos:100514685","PhysicalObject","4301194","100514685","G.A. Parada|M. Betancur|M.T. Martinez|H. Fernandez","MO","MOBOT","http://www.tropicos.org/Specimen/100514685","G. A. Parada (USZ), 2014","http://biocol.org/urn:lsid:biocol.org:col:15859","Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1676067371","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-18.178033,-63.544633,"cdround,gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:24.143+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2009,9,26,"2009-09-26T00:00:00",NA,"2020-02-12T18:39:24.143+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Ibanez, between La Angostura and Bermejo, street next to Rio Pirai",NA,NA,"1676067371","Herbarium Senckenbergianum",NA,NA,NA,"FR-0029215",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1676067422","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-18.185883,-63.558717,"cdround,gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:23.410+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2009,9,26,"2009-09-26T00:00:00",NA,"2020-02-12T18:39:23.410+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Florida, between L Angostura and Bermejo, street next to Rio Pirai",NA,NA,"1676067422","Herbarium Senckenbergianum",NA,NA,NA,"FR-0029216",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1260461796","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-14.494722,-68.509167,"cdround,gass84","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","US","DWC_ARCHIVE","2020-02-14T11:33:51.259+0000","2020-02-14T12:00:06.530+0000",107,"none","PRESERVED_SPECIMEN",5,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",740,"SOUTH_AMERICA","La Paz",2006,9,17,"2006-09-17T00:00:00","2018-01-11T11:13:00.000+0000","2020-02-14T12:00:06.530+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of","Missouri Botanical Garden","No opinion","urn:catalog:MO:Tropicos:3081747","Araujo Murakami 2916","ICNafp","Tropicos","Área Natural de Manejo Integrado Madidi, Machariapo, Limón.","Franz Tamayo","06-05","1260461796","MO","urn:catalog:MO:Tropicos:3081747","PhysicalObject","4301194","3081747","Alejandro Araujo M.|Christopher Davidson|Sharon R. Christoph|Paola Gismondi|M. Cornejo|E. Ticona","MO","MOBOT","http://www.tropicos.org/Specimen/3081747","A. Araujo-M. (LPB)","http://biocol.org/urn:lsid:biocol.org:col:15859","Fosterella penduliflora (C.H.Wright) L.B.Sm.","2007-01-01T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","362418938","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-19.66445,-64.04695,"gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:24.979+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2006,10,4,"2006-10-04T00:00:00",NA,"2020-02-12T18:39:24.979+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Hernandos Siles, road from Monteagudo to Padilla, km 34, next to Bartolo",NA,NA,"362418938","Herbarium Senckenbergianum",NA,NA,NA,"FR-0082333",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","362418965","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-22.600283,-64.42555,"cdround,gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:22.388+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2006,10,1,"2006-10-01T00:00:00",NA,"2020-02-12T18:39:22.388+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Arce, road from Tarija to Bermejo, km 134, along Rio Bermejo, between La Merced and Vaden",NA,NA,"362418965","Herbarium Senckenbergianum",NA,NA,NA,"Fr-0082369",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","362418967","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-22.206383,-64.62305,"cdround,gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:25.430+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2006,10,11,"2006-10-11T00:00:00",NA,"2020-02-12T18:39:25.430+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Arce, road from Tarija to Bermejo, km 111, along Rio Bermejo, between La Merced and Vaden",NA,NA,"362418967","Herbarium Senckenbergianum",NA,NA,NA,"Fr-0082370",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","362418969","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-19.66445,-64.04695,"gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:25.479+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2006,10,4,"2006-10-04T00:00:00",NA,"2020-02-12T18:39:25.479+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Hernando Siles, road from Monteagudo to Padilla, km 34, next to Bartolo",NA,NA,"362418969","Herbarium Senckenbergianum",NA,NA,NA,"Fr-0082371",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","362418971","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-19.80305,-64.020833,"cdround,gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:25.449+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2006,10,3,"2006-10-03T00:00:00",NA,"2020-02-12T18:39:25.449+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Hernando Siles, road from Monteagudo to Padilla, km 9",NA,NA,"362418971","Herbarium Senckenbergianum",NA,NA,NA,"Fr-0082372",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","362418973","Fosterella penduliflora (C.H.Wright) L.B.Sm.",-19.853883,-63.73055,"cdround,gass84","966426ce-f762-11e1-a439-00145eb45e9a","c76cf030-2a95-11da-9cc1-b8a03c50a862","60383ab8-f762-11e1-a439-00145eb45e9a","DE","BIOCASE","2020-02-11T21:07:47.517+0000","2020-02-12T18:39:21.823+0000",88,"none","PRESERVED_SPECIMEN",NA,5288015,6,7707728,196,1369,3740,2696623,5288015,5288015,"Fosterella penduliflora (C.H.Wright) L.B.Sm.","Plantae","Tracheophyta","Poales","Bromeliaceae","Fosterella","Fosterella penduliflora","Fosterella","penduliflora","SPECIES","ACCEPTED",NA,NA,NA,2006,10,3,"2006-10-03T00:00:00",NA,"2020-02-12T18:39:21.823+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Liliopsida","BO","Bolivia, Plurinational State of",NA,NA,NA,NA,NA,NA,"Cordillera, road from Ipati toLagunillas, km 45",NA,NA,"362418973","Herbarium Senckenbergianum",NA,NA,NA,"FR-0082373",NA,"FR",NA,NA,NA,NA,"Fosterella penduliflora (C.H.Wright) L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
